Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U201","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-55.0000,0.0000,top
"U202","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-70.0000,0.0000,top
"U203","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-85.0000,0.0000,top
"U204","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-100.0000,0.0000,top
"U205","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-115.0000,0.0000,top
"U206","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-130.0000,0.0000,top
"U207","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-145.0000,0.0000,top
"U208","ACS712ELCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",101.0000,-160.0000,0.0000,top
"U209","AMS1117-5.0","SOT-223-3_TabPin2",131.2500,-59.0000,180.0000,top
"U301","XC6206P332MR","SOT-23-3",132.7500,-149.0000,0.0000,top
"U302","CH340N","SOP-8_3.9x4.9mm_P1.27mm",126.0000,-139.2500,90.0000,top
"U303","USBLC6-2SC6","SOT-23-6",131.1375,-141.8000,0.0000,top
"Y101","8MHz","Crystal_SMD_HC49-SD",121.7500,-93.9125,0.0000,top
"Y102","32k","Crystal_SMD_3215-2Pin_3.2x1.5mm",127.3500,-98.6125,180.0000,top
